Match found for 'E-Phase Englisch'. Current En: 'E-Phase Englisch', New: 'E-Phase Englisch'
Match found for 'Growing up (Heranwachsen)'. Current En: 'Growing up (Heranwachsen)', New: 'Growing up (Heranwachsen)'
Match found for 'Text comprehension'. Current En: 'Text comprehension', New: 'Text comprehension'
Match found for 'Vocabulary/Grammar consolidation'. Current En: 'Vocabulary/Grammar consolidation', New: 'Vocabulary/Grammar consolidation'
Match found for 'Listening/Speaking'. Current En: 'Listening/Speaking', New: 'Listening/Speaking'
Match found for 'Writing/Mediate'. Current En: 'Writing/Mediate', New: 'Writing/Mediate'
Match found for 'Intercultural reflection'. Current En: 'Intercultural reflection', New: 'Intercultural reflection'
Match found for 'Making a difference'. Current En: 'Making a difference', New: 'Making a difference'
Match found for 'Text comprehension'. Current En: 'Text comprehension', New: 'Text comprehension'
Match found for 'Vocabulary/Grammar consolidation'. Current En: 'Vocabulary/Grammar consolidation', New: 'Vocabulary/Grammar consolidation'
Match found for 'Listening/Speaking'. Current En: 'Listening/Speaking', New: 'Listening/Speaking'
Match found for 'Writing/Mediate'. Current En: 'Writing/Mediate', New: 'Writing/Mediate'
Match found for 'Intercultural reflection'. Current En: 'Intercultural reflection', New: 'Intercultural reflection'
Match found for 'The English-speaking world'. Current En: 'The English-speaking world', New: 'The English-speaking world'
Match found for 'Text comprehension'. Current En: 'Text comprehension', New: 'Text comprehension'
Match found for 'Vocabulary/Grammar consolidation'. Current En: 'Vocabulary/Grammar consolidation', New: 'Vocabulary/Grammar consolidation'
Match found for 'Listening/Speaking'. Current En: 'Listening/Speaking', New: 'Listening/Speaking'
Match found for 'Writing/Mediate'. Current En: 'Writing/Mediate', New: 'Writing/Mediate'
Match found for 'Intercultural reflection'. Current En: 'Intercultural reflection', New: 'Intercultural reflection'
Match found for 'Youth culture in English-speaking countries'. Current En: 'Youth culture in English-speaking countries', New: 'Youth culture in English-speaking countries'
Match found for 'Text comprehension'. Current En: 'Text comprehension', New: 'Text comprehension'
Match found for 'Vocabulary/Grammar consolidation'. Current En: 'Vocabulary/Grammar consolidation', New: 'Vocabulary/Grammar consolidation'
Match found for 'Listening/Speaking'. Current En: 'Listening/Speaking', New: 'Listening/Speaking'
Match found for 'Writing/Mediate'. Current En: 'Writing/Mediate', New: 'Writing/Mediate'
Match found for 'Intercultural reflection'. Current En: 'Intercultural reflection', New: 'Intercultural reflection'
Match found for 'Role models'. Current En: 'Role models', New: 'Role models'
Match found for 'Text comprehension'. Current En: 'Text comprehension', New: 'Text comprehension'
Match found for 'Vocabulary/Grammar consolidation'. Current En: 'Vocabulary/Grammar consolidation', New: 'Vocabulary/Grammar consolidation'
Match found for 'Listening/Speaking'. Current En: 'Listening/Speaking', New: 'Listening/Speaking'
Match found for 'Writing/Mediate'. Current En: 'Writing/Mediate', New: 'Writing/Mediate'
Match found for 'Intercultural reflection'. Current En: 'Intercultural reflection', New: 'Intercultural reflection'
Match found for 'Q1'. Current En: 'Q1', New: 'Q1'
Match found for 'Q2'. Current En: 'Q2', New: 'Q2'
Match found for 'Q3'. Current En: 'Q3', New: 'Q3'
Match found for 'Q4'. Current En: 'Q4', New: 'Q4'
Match found for 'The individual and society'. Current En: 'The individual and society', New: 'The individual and society'
Match found for 'Identity and diversity'. Current En: 'Identity and diversity', New: 'Identity and diversity'
Match found for 'Ambitions and obstacles'. Current En: 'Ambitions and obstacles', New: 'Ambitions and obstacles'
Match found for 'Conformity vs individualism'. Current En: 'Conformity vs individualism', New: 'Conformity vs individualism'
Match found for 'Social diversity & gender'. Current En: 'Social diversity & gender', New: 'Social diversity & gender'
Match found for 'Case study (identity)'. Current En: 'Case study (identity)', New: 'Case study (identity)'
Match found for 'Politics/culture/society – USA'. Current En: 'Politics/culture/society – USA', New: 'Politics/culture/society – USA'
Match found for 'American ideals & realities'. Current En: 'American ideals & realities', New: 'American ideals & realities'
Match found for 'Freedom/equality/happiness'. Current En: 'Freedom/equality/happiness', New: 'Freedom/equality/happiness'
Match found for 'Identity debates USA'. Current En: 'Identity debates USA', New: 'Identity debates USA'
Match found for 'Current political/cultural issues'. Current En: 'Current political/cultural issues', New: 'Current political/cultural issues'
Match found for 'Case study USA'. Current En: 'Case study USA', New: 'Case study USA'
Match found for 'Politics/culture/society – UK'. Current En: 'Politics/culture/society – UK', New: 'Politics/culture/society – UK'
Match found for 'UK historical context'. Current En: 'UK historical context', New: 'UK historical context'
Match found for 'Empire/postcolonial legacies'. Current En: 'Empire/postcolonial legacies', New: 'Empire/postcolonial legacies'
Match found for 'Identity debates UK'. Current En: 'Identity debates UK', New: 'Identity debates UK'
Match found for 'Current issues UK'. Current En: 'Current issues UK', New: 'Current issues UK'
Match found for 'Case study UK'. Current En: 'Case study UK', New: 'Case study UK'
Match found for 'Politics/culture/society – weiterer anglophoner Raum'. Current En: 'Politics/culture/society – weiterer anglophoner Raum', New: 'Politics/culture/society – weiterer anglophoner Raum'
Match found for 'Ref-country historical path'. Current En: 'Ref-country historical path', New: 'Ref-country historical path'
Match found for 'Legacy of British rule'. Current En: 'Legacy of British rule', New: 'Legacy of British rule'
Match found for 'Identity debates ref-country'. Current En: 'Identity debates ref-country', New: 'Identity debates ref-country'
Match found for 'Current issues ref-country'. Current En: 'Current issues ref-country', New: 'Current issues ref-country'
Match found for 'Case study ref-country'. Current En: 'Case study ref-country', New: 'Case study ref-country'
Match found for 'The media'. Current En: 'The media', New: 'The media'
Match found for 'Media landscape change'. Current En: 'Media landscape change', New: 'Media landscape change'
Match found for 'Traditional vs new media'. Current En: 'Traditional vs new media', New: 'Traditional vs new media'
Match found for 'Impact on individual/society'. Current En: 'Impact on individual/society', New: 'Impact on individual/society'
Match found for 'Manipulation/ethics'. Current En: 'Manipulation/ethics', New: 'Manipulation/ethics'
Match found for 'Case study media'. Current En: 'Case study media', New: 'Case study media'
Match found for 'The world of work'. Current En: 'The world of work', New: 'The world of work'
Match found for 'World of work changes'. Current En: 'World of work changes', New: 'World of work changes'
Match found for 'Automation/digitalization'. Current En: 'Automation/digitalization', New: 'Automation/digitalization'
Match found for 'Global job market/lingua franca'. Current En: 'Global job market/lingua franca', New: 'Global job market/lingua franca'
Match found for 'Career paths/competition'. Current En: 'Career paths/competition', New: 'Career paths/competition'
Match found for 'Case study work'. Current En: 'Case study work', New: 'Case study work'
Match found for 'Global chances and challenges'. Current En: 'Global chances and challenges', New: 'Global chances and challenges'
Match found for 'Sustainability social/environment'. Current En: 'Sustainability social/environment', New: 'Sustainability social/environment'
Match found for 'Economic sustainability'. Current En: 'Economic sustainability', New: 'Economic sustainability'
Match found for 'Conflict & cooperation'. Current En: 'Conflict & cooperation', New: 'Conflict & cooperation'
Match found for 'Migration/peacekeeping'. Current En: 'Migration/peacekeeping', New: 'Migration/peacekeeping'
Match found for 'Case study global'. Current En: 'Case study global', New: 'Case study global'
Match found for 'Science and technology'. Current En: 'Science and technology', New: 'Science and technology'
Match found for 'Science/tech progress'. Current En: 'Science/tech progress', New: 'Science/tech progress'
Match found for 'Impact on society'. Current En: 'Impact on society', New: 'Impact on society'
Match found for 'Ethical implications'. Current En: 'Ethical implications', New: 'Ethical implications'
Match found for 'Future scenarios'. Current En: 'Future scenarios', New: 'Future scenarios'
Match found for 'Case study science'. Current En: 'Case study science', New: 'Case study science'
Match found for 'Write analytical/argumentative texts on identity/diversity'. Current En: 'Write analytical/argumentative texts on identity/diversity', New: 'Write analytical/argumentative texts on identity/diversity'
Match found for 'Debate social diversity topics coherently'. Current En: 'Debate social diversity topics coherently', New: 'Debate social diversity topics coherently'
Match found for 'Mediate identity-related content between cultures'. Current En: 'Mediate identity-related content between cultures', New: 'Mediate identity-related content between cultures'
Match found for 'Write analytical texts on US ideals vs realities'. Current En: 'Write analytical texts on US ideals vs realities', New: 'Write analytical texts on US ideals vs realities'
Match found for 'Present on current US issues with register awareness'. Current En: 'Present on current US issues with register awareness', New: 'Present on current US issues with register awareness'
Match found for 'Mediate US sociopolitical texts into German/English'. Current En: 'Mediate US sociopolitical texts into German/English', New: 'Mediate US sociopolitical texts into German/English'
Match found for 'Write essays on UK identity/history topics'. Current En: 'Write essays on UK identity/history topics', New: 'Write essays on UK identity/history topics'
Match found for 'Analyse spoken UK media for arguments/register'. Current En: 'Analyse spoken UK media for arguments/register', New: 'Analyse spoken UK media for arguments/register'
Match found for 'Mediate UK cultural content across languages'. Current En: 'Mediate UK cultural content across languages', New: 'Mediate UK cultural content across languages'
Match found for 'Compose reports on ref-country tradition/change'. Current En: 'Compose reports on ref-country tradition/change', New: 'Compose reports on ref-country tradition/change'
Match found for 'Present comparative view on ref-country issues'. Current En: 'Present comparative view on ref-country issues', New: 'Present comparative view on ref-country issues'
Match found for 'Mediate ref-country texts considering audience/register'. Current En: 'Mediate ref-country texts considering audience/register', New: 'Mediate ref-country texts considering audience/register'
Match found for 'Evaluate bias/manipulation across media'. Current En: 'Evaluate bias/manipulation across media', New: 'Evaluate bias/manipulation across media'
Match found for 'Write analytical reviews of media artifacts'. Current En: 'Write analytical reviews of media artifacts', New: 'Write analytical reviews of media artifacts'
Match found for 'Create multimodal product with matching register'. Current En: 'Create multimodal product with matching register', New: 'Create multimodal product with matching register'
Match found for 'Produce CV/cover letter with appropriate register'. Current En: 'Produce CV/cover letter with appropriate register', New: 'Produce CV/cover letter with appropriate register'
Match found for 'Conduct/appraise interviews/meetings'. Current En: 'Conduct/appraise interviews/meetings', New: 'Conduct/appraise interviews/meetings'
Match found for 'Mediate job-related info (ads/contracts) accurately'. Current En: 'Mediate job-related info (ads/contracts) accurately', New: 'Mediate job-related info (ads/contracts) accurately'
Match found for 'Write position papers on global challenges'. Current En: 'Write position papers on global challenges', New: 'Write position papers on global challenges'
Match found for 'Participate in panels on sustainability/conflict'. Current En: 'Participate in panels on sustainability/conflict', New: 'Participate in panels on sustainability/conflict'
Match found for 'Mediate global-issue texts for different audiences'. Current En: 'Mediate global-issue texts for different audiences', New: 'Mediate global-issue texts for different audiences'
Match found for 'Write reports on science/tech impact'. Current En: 'Write reports on science/tech impact', New: 'Write reports on science/tech impact'
Match found for 'Explain scientific developments to lay audience'. Current En: 'Explain scientific developments to lay audience', New: 'Explain scientific developments to lay audience'
Match found for 'Mediate science/tech info accurately'. Current En: 'Mediate science/tech info accurately', New: 'Mediate science/tech info accurately'
Applied 0 translations to /home/enpasos/projects/skillpilot/curricula/DE/HE/Kultusministerium/Gymnasiale_Oberstufe/json/DE_HES_S_GYM_2_ENGLISCH.de.json
